EPS,forecasted_eps,noOfEsts,after_total_returns,before_total_returns
0.31,0.4,2,0.056918828,-0.002879786
0.02,0.35,3,0.035452987,0.020883084
0.14,0.16,1,-0.011365234,0.023791763
-0.31,-0.27,1,0.033333333,-0.105263158
-0.18,-0.18,3,0.097902098,-0.028070175
-0.45,-0.46,3,0.20795853,-0.001079581
-0.68,-0.8,3,-0.166163142,0.026459854
0.05,0.05,4,0.011235881,-0.077319549
-0.1,-0.1,3,0.003816794,0.006389776
-0.38,-0.37,3,0.104693141,0.057142857
-0.37,-0.37,2,0.068376068,-0.016085791
-0.63,-0.86,4,0.001766004,-0.061008995
0.2,0.16,2,0.01934236,0.003777148
-1.27,-1.22,4,0.029953086,-0.071794872
-0.35,-0.25,1,0.025362319,0
0.38,0.38,4,-0.004334322,-0.036297655
0.09,0.07,4,-0.031065715,-0.003792764
1.02,0.98,2,0.052960625,0.013458164
0.07,0.05,3,-0.075,-0.08616188
-1.11,-0.95,3,0.00665779,0.092470277
0.41,0.41,3,0.013758899,-0.011332924
0.5,0.49,2,0.084552862,-0.007667463
0.33,0.29,4,0.051627194,0.054090672
0.11,0.12,2,0.035714313,-0.022779077
0.08,0.22,2,0.102272727,0.021505376
0.19,0.16,1,-0.031250044,-0.011446911
-0.21,-0.21,5,0,0.023529412
0.2,0.21,5,0.084791394,0.000669793
0.27,0.17,1,0.0434783,-0.048276558
-0.03,-0.03,6,0.134969325,-0.073529412
0.51,0.41,1,-0.037707838,-0.051036189
0.12,0.07,3,0.038461538,-0.04556962
-0.54,-0.54,3,-0.184060721,0.03559322
0.04,-0.14,5,0.282186949,-0.233809001
0.27,0.26,2,0.141052632,-0.029288703
-0.14,-0.15,2,0.028720627,0.002645503
-0.61,-0.32,3,0.102409639,-0.060846561
-0.28,-0.14,6,0.078247261,-0.0024888
0.27,0.21,3,-0.003976143,0.002469136
-0.06,-0.08,1,0.042435424,-0.095764273
-0.11,-0.09,3,-0.339179104,-0.084848485
0.13,-0.03,1,0.026572193,-0.033678796
0.07,0.05,3,0.101022495,-0.112195122
0.3,0.34,2,0.023082689,-0.035302107
-0.66,-0.88,1,0.039236479,0.104411765
-0.12,-0.14,1,-0.203380877,0.110751295
-0.68,0.04,1,-0.025742589,0.046774684
-0.19,-0.19,1,-0.053571429,-0.130434783
0.21,0.35,1,0.053780618,0.043682205
-1.86,-1.76,7,0.167647059,0.101248581
-0.46,-0.73,2,-0.117647059,0.014251781
-0.91,-0.51,3,-0.194270367,-0.02339267
0.38,0.45,2,0.018214355,-0.040616298
-0.12,-0.1,3,-0.085726578,-0.015708812
-0.07,-0.21,1,0.147321429,-0.044534413
0.34,0.34,7,0.00414366,-0.029251669
0.01,-0.05,3,0.029109589,0.031657356
-0.14,-0.21,3,-0.218253968,0.14479638
-0.74,-0.63,2,0.049814126,-0.018060201
0.02,0.03,4,-0.119517103,-0.129032258
0.51,0.61,5,-0.079109991,-0.006856029
0.07,0.14,2,0.060606061,-0.040322581
0.14,0.05,2,0.145762712,0.04029304
-0.7,-0.68,2,0.097922849,0.005494505
-0.02,-0.05,2,0.052631579,-0.013422819
-0.48,-0.67,1,-0.079229122,0.035864979
-0.27,-0.3,1,0.051136364,-0.005128205
-0.14,-0.05,1,0.022099448,0.044198895
-0.03,-0.01,3,-0.036850921,-0.02
0.98,0.95,4,-0.01695692,-0.092654825
0.52,0.52,1,0.023862432,-0.051336904
-0.13,-0.14,3,-0.020823529,-0.079847909
-0.44,-0.52,2,0.115044248,0.078431373
0.32,0.34,1,0.032719841,-0.069723037
0.03,-0.01,1,0.069579288,0.028081123
-0.27,-0.27,5,0.260273973,-0.025974026
-0.1,-0.22,2,0.175609756,-0.002967359
-0.41,-0.43,1,0.059171626,-0.030201326
-0.08,-0.14,3,0.055555556,-0.103896104
-0.56,-0.41,2,0.148086522,0.133333333
0,0.12,1,-0.142857079,-0.028455155
-0.08,-0.09,2,0.027210884,-0.21
-0.18,-0.18,4,-0.063617021,-0.11965812
0.07,-0.25,3,-0.101694915,0.033898305
-0.07,-0.08,1,-0.11584507,-0.067964072
0.11,0.24,1,0.033333198,0.104906974
-0.46,-0.49,1,-0.125490196,-0.061302682
0.16,0.24,4,0.015686275,-0.071307301
-0.22,-0.22,1,0.072992701,-0.007352941
-0.71,-0.72,4,-0.074109721,0
13.85,2.38,1,0.08118481,-0.036116389
1.41,1.35,12,-0.013331053,0.006479105
1.36,1.19,10,-0.024520175,0.009048955
