EPS,forecasted_eps,noOfEsts,before_total_returns
0.33,0.17,1,-0.07744402
0,-0.02,27,-0.06957432
-0.7,-0.25,3,0.009352491
1.09,0.79,8,-0.01968434
-0.01,0.08,1,-0.002895928
3.32,3.11,9,-0.143705078
-0.25,-0.43,5,-0.132195619
0.81,0.71,6,-0.102966613
1.89,1.53,7,0.075713632
-0.34,-0.26,2,-0.019589966
0.91,0.81,7,-0.075132883
1.23,0.35,7,-0.201959077
0.82,0.85,5,-0.057020233
0.31,0.25,1,-0.037126911
0.44,0.79,4,-0.030000987
1.65,0.69,7,-0.124890369
0.17,0.19,1,0.000996016
0.17,0.15,1,-0.079904306
1.08,0.89,2,-0.04501845
0.07,0.08,3,-0.001046593
1.53,1.5,7,-0.059613319
0.72,0.74,2,-0.120737842
0.06,0.07,1,-0.095505618
0.72,0.73,1,0.038973951
0.85,0.76,1,-0.090068056
0.17,0.13,1,-0.096592037
0.42,0.18,3,-0.138454012
-0.03,-0.05,2,-0.253662298
-0.09,-0.11,1,-0.23
0.01,0.08,4,-0.113595707
5.43,4.54,2,-0.164209505
0.8,0.73,1,0.009316785
0.25,0.27,6,-0.020337516
-0.11,-0.15,1,0.007936508
1.59,1.15,1,-0.116755118
0.1,0.05,2,-0.081836327
1.35,1.18,4,-0.038624241
0.05,-0.84,3,-0.053194333
0.2,0.07,1,-0.062846141
0.41,0.64,1,-0.237926973
-0.2,-0.23,4,-0.018306636
0.13,0.06,2,-0.084074373
0.96,0.94,1,-0.015994668
0.33,0.4,2,-0.135483871
-8.12,-0.57,1,-0.144519884
-0.21,-0.25,4,-0.060150376
0.24,0.2,2,-0.042296073
-0.23,-0.13,2,-0.127819549
-0.53,-0.81,2,0.129840547
-0.09,-0.07,1,-0.153621068
0.09,0.09,1,-0.035071037
0.1,0.12,1,0.013699002
-0.1,-0.12,2,0.197591125
-0.21,-0.25,1,0.253333333
-0.68,-0.93,1,0.186440678
-0.16,-0.28,1,-0.050925926
-0.29,-0.3,1,1.066666667
0,0.02,2,-0.166666667
1.32,1.25,7,0.015864819
-0.1,-0.1,2,-0.055865922
1.68,1.41,11,-0.010920227
3.88,3.24,16,0.025924528
0.24,0.63,7,-0.036639814
1.45,1.36,9,0.040701054
0.75,0.73,17,-0.008680567
0.16,0.13,8,0.063366051
-15.25,-1.78,7,0.07448157
2.54,2.57,6,-0.007786762
1.52,1.29,10,0.001139434
2.81,2.55,14,0.056652172
6.03,5.64,9,0.049571302
1.13,0.93,8,0.071144993
2.33,1.58,5,0.031303363
0.5,0.53,11,0.036099784
2.64,2.48,7,0.018565164
1.83,1.68,8,-0.033450099
3.49,3.55,8,0.084424644
1.47,1.29,9,0.055402585
1.13,1.02,8,0.035238461
0.78,0.71,8,0.071722691
3.88,3.88,9,0.019046248
1.6,1.47,7,0.024742864
4.53,4.44,3,0.040598085
0.52,0.48,5,0.013721178
0.93,0.92,6,0.019654776
-0.37,-0.31,7,0.131010595
1.1,0.99,9,0.073119897
5.04,4.28,9,0.09177315
0.41,0.41,4,0.065602821
-0.58,-0.67,6,0.067978537
1.02,0.96,3,-0.018720555
2.24,1.71,2,0.131412506
3.2,3.16,1,0.055333605
2.86,2.14,8,0.050409079
1.06,0.91,6,0.051374988
0.13,0.11,3,0.056420848
1.91,1.84,6,0.033725728
6.64,6.39,5,0.015570402
0.58,0.38,4,0.046266175
1.33,1.42,6,0.015792268
1.93,1.24,2,0.157660333
0.94,0.91,7,0.047502447
0.2,0.14,4,0.01596208
0.96,0.82,3,0.056819427
2.34,2.03,5,-0.09073486
0.86,0.8,5,0.038968259
1.13,0.69,10,0.03398569
2.01,1.76,5,0.064137685
1.48,1.35,8,0.047695908
4.18,3.57,9,-0.030494728
0.27,0.26,10,0.014125195
1.44,1.48,5,0.090784981
1.15,0.33,3,0.083273549
0.75,0.56,1,0.051178314
1.56,1.54,8,-0.027131217
0.76,0.67,1,0.002616275
-0.2,-0.4,3,0.121333334
3.97,3.36,9,0.032666822
0.39,0.28,3,0.070682237
0.84,0.78,5,0.044975404
0.48,0.38,4,0.071846268
0.32,0.25,2,0.090494892
0.69,0.52,3,0.106817617
0.89,0.77,4,0.052065656
0.15,0.26,3,0.156024258
0.23,0.15,3,0.115140957
0.37,0.34,5,0.049073602
-0.02,-0.03,1,0.002644104
0.2,0.15,1,0.018471338
1.65,1.32,5,0.186098655
0.22,0.39,5,0.058843841
0.86,1.01,1,0.114088281
1.22,2.83,2,-0.052075747
0.75,0.35,4,0.069133763
1.21,1.02,4,0.101292613
0.84,0.55,3,0.09120849
0.78,0.62,2,0.064888874
0.78,0.73,2,0.071170083
0.35,0.3,10,0.125960575
0.83,0.76,4,0.081976586
0.89,0.64,2,0.083333317
0.79,0.67,4,0.04842051
0.34,0.24,3,0.054644819
0.17,0.18,4,-0.005505506
0.18,0.17,6,0.099605233
0.37,0.27,5,0.215643672
0.75,0.72,3,0.08807769
-0.03,-0.09,5,0.113043478
1.07,0.97,2,0.039586139
0.52,0.4,3,0.06719608
0.36,0.3,2,0.061379042
0.92,0.5,2,0.121176026
1.2,1.08,4,0.056119852
0.29,0.2,2,0.087794981
0.43,0.41,2,0.082555292
0.41,0.28,1,0.045166101
0.27,0.27,4,0.158697892
0.57,0.62,3,0.041264946
0.87,0.73,1,0.0427812
0.05,-0.01,3,0.046641791
0.4,0.06,2,0.15273909
0.21,0.17,1,0.105939834
0.29,0.29,1,0.089896579
0.71,0.58,1,-0.020270294
-0.07,-0.12,1,0.148849797
0.98,0.77,1,0.115249913
0.31,0.31,3,0.146137823
0.57,0.38,4,0.046601946
0.04,0.29,1,0.079958437
0.41,0.43,1,0.099220382
0.98,1.25,2,-0.008164321
0.16,0.23,2,-0.014330218
-0.52,-0.62,2,0.186141304
1.81,1.63,7,-0.020222196
2.33,2.35,6,-0.026936172
0.91,0.83,7,-0.007361898
0.56,0.28,2,-0.003497056
0.42,0.41,1,-0.047099877
2.21,1.84,4,-0.056230939
0.05,0.08,8,-0.145526961
2.2,2.1,1,0.03696646
0.18,-0.07,4,-0.0075
3.05,2.84,14,0.041136139
0.67,0.63,9,0.030279619
0.6,0.58,3,0.137104984
0.16,0.14,8,-0.031659347
1.97,1.85,10,0.025754603
0.6,0.57,12,-0.013635482
-0.12,-0.11,2,0.282667569
-1.01,-1.68,2,0.141563538
0.2,0.21,3,0.027720722
-0.39,-0.08,2,0.006315789
0.8,0.8,1,0.015116652
0.1,0.08,3,0.09751434
0.2,0.17,2,0.071856287
0.07,0.1,1,-0.200096899
-0.31,-0.12,2,0.345375273
-0.08,-0.04,1,0.26342711
-0.04,1.52,1,0.074249636
-0.37,-0.3,2,-0.017460317
-0.6,-0.06,1,0.179439252
-0.24,-0.24,7,0.09613984
-0.62,-0.48,3,0.018924303
0.26,0.33,4,0.040181956
1.19,1.2,7,0.009274293
-0.03,-0.02,1,-0.002541296
0,-0.01,1,0.736677116
-0.35,-0.3,1,-0.018126888
-0.04,0.14,1,0.129032258
0.46,0.49,1,0.043373541
0.66,0.39,4,0.21472
-0.15,-0.07,3,-0.0625
0.34,0.24,1,-0.006532372
0.24,0.21,4,0.193708609
-0.54,-0.58,6,0.070023603
-0.16,-0.15,1,-0.111304348
-0.5,-0.74,1,-0.02866242
-0.14,-0.13,1,0.170212766
-0.16,-0.14,4,0.116677939
-0.26,-0.14,1,-0.084615385
-0.09,-0.06,1,-0.125874126
-0.35,-0.34,2,0.067469116
0.13,0.2,1,0.043650805
-1.14,-0.91,4,0.155822329
-0.12,-0.1,1,-0.117647059
-0.44,0.4,1,0.077326343
-0.1,-0.1,1,-0.024630542
-0.11,-0.07,1,-0.050505051
-1.83,-0.52,2,0.010893246
-0.06,-0.13,1,0.03125
-0.16,-0.12,2,-0.083333333
-0.04,-0.1,2,0.109544469
1.76,-1.49,1,0.139742314
0.13,0.12,3,-0.127633209
-0.01,0.03,3,0.05
-0.11,-0.12,2,0.241847826
-0.64,-0.76,2,0.136701337
-0.53,-0.58,2,0.098290598
-0.04,-0.06,2,0.077319588
-0.21,-0.38,1,0.014450867
-0.07,-0.07,1,-0.081578947
-0.04,-0.05,1,0.037634409
-0.33,-0.39,1,0
-0.23,-0.18,3,-0.020833333
-0.07,-0.07,2,-0.057416268
-2.22,-1.29,1,0.205357143
0.63,0.55,2,-0.064308697
-0.18,-0.18,1,0.108454684
0.09,0.31,2,-0.102415459
0.07,0,1,-0.052631579
-2.7,-3.3,1,0.044025157
-0.01,-0.1,1,0.048913043
-0.08,-0.08,1,0.078745989
-0.46,-0.27,1,0.047808765
-0.18,0.04,1,-0.039215686
0.04,0.23,1,0.012903235
-0.36,-0.3,1,-0.118852459
-0.11,-0.13,1,0.089330025
-0.01,-0.01,1,0.082802548
-0.27,-0.26,2,-0.073713852
-0.45,-0.72,3,0.005277045
-0.3,-0.15,1,-0.108108108
-0.04,-0.15,2,0.05390435
-1.68,-1.65,1,0.027547967
0.09,0.1,4,0.05993266
0.29,0.4,2,0.059642147
-0.11,-0.19,4,0.086885246
-0.4,-0.45,2,-0.076706545
-1.24,-0.96,4,-0.004633755
-0.53,-0.18,1,0.205958549
0.09,0.2,1,0.0614241
0.2,0.2,4,0.013574661
-0.37,-0.19,5,0.12684234
0.15,0.14,2,0.031941032
0.11,0.09,4,-0.041372351
-0.12,-0.08,2,0.185
-0.07,-0.23,2,0.043478261
-0.15,-0.04,1,0.105507246
-0.13,-0.12,1,0.096126255
0.02,-0.14,1,-0.011967091
-0.04,0.01,2,0.049316406
-0.35,-0.23,1,0.072681704
-0.14,-0.15,2,0.433830846
-0.01,0.02,1,0.103311258
-0.1,-0.14,1,0.091381101
0,-0.04,5,0.108563722
-0.35,-0.5,3,0.013801757
-0.14,-0.02,1,0.117943548
0.17,0.18,1,-0.117027864
-0.4,-0.37,3,-0.092735703
0,-0.03,1,0.017667845
-0.68,-0.6,3,0.017831325
-0.35,-0.25,1,0.216216216
-0.15,-0.1,1,0.082236842
-0.25,-0.21,2,0.266610597
-0.21,-0.17,1,-0.027363184
-0.74,-0.46,6,0.148122867
-0.38,-0.39,3,-0.100923952
-0.41,-0.37,3,0.06379822
-0.13,-0.13,4,0.174698795
-1.37,-9.57,1,0.172890733
0.78,-0.34,1,-0.016888889
-0.82,-0.5,2,-0.014684288
-0.12,-0.14,2,0.24301676
0.01,0.03,2,0.001974334
0.36,0.21,1,-0.010455105
-0.07,-0.17,3,0.791666667
-0.39,-0.22,3,-0.007246377
-0.92,-0.93,1,0.098582039
-0.46,-0.3,1,-0.152107514
-0.04,-0.09,2,0.020785219
-0.38,-0.38,4,-0.07106599
-0.16,-0.14,1,0.162162162
-0.3,-0.33,5,0.084229391
-0.13,-0.08,3,0.077731092
-0.01,-0.05,1,0.053030303
0.08,0.05,2,0.053938307
-0.37,-0.19,1,0
-0.01,-0.03,1,-0.041474654
-0.28,-0.03,3,0.035714286
-0.11,-0.17,1,-0.105855856
-0.02,-0.04,1,-0.021197007
-0.51,-0.24,1,0.08714044
0.06,0,2,0.116336634
-0.71,-0.81,1,0.026519337
-0.05,-0.03,1,0.063694268
-1.83,-0.25,2,0.311026616
-1.08,-1.26,3,0.087719298
-0.34,-0.27,2,0.211028632
-0.4,-0.41,4,-0.069605568
-0.12,-0.1,1,0.10982659
0.08,-0.08,1,0.03853211
-0.25,-0.04,1,-0.04290429
-0.94,-0.62,3,0.076708508
-0.98,-0.78,3,0.306413302
-0.17,-0.15,2,0.035532995
-0.35,-0.13,1,0.178217822
-0.04,-0.04,1,-0.025862069
-0.48,-0.24,1,0.256147541
-0.19,-0.17,1,-0.075601375
-0.08,-0.08,1,0.07751938
-0.02,-0.03,1,-0.587037037
-0.25,-0.18,2,0.055421687
-0.17,-0.36,1,-0.064456722
-0.26,-0.39,1,0.043859649
-0.08,-0.09,1,-0.027821229
-0.15,-0.16,1,-0.090322581
-0.34,-0.33,1,0.060773481
-0.32,-0.51,1,0.057894737
-0.07,-0.06,1,-0.107142857
-0.06,-0.07,1,-0.023041475
-0.06,-0.11,3,0.066387872
-0.11,-0.41,2,0.077205882
-0.52,-0.5,2,0.04
-1.64,-0.21,1,0.005154639
-0.21,-0.31,2,0.063909774
-0.11,0.04,1,0.008032129
-1.65,-1.22,1,-0.05248227
2.33,1.13,1,0.084109281
1.58,1.56,12,0.006028367
1.09,0.85,5,-0.031039785
0.86,0.89,18,-0.034759897
0.88,0.81,16,-0.024330033
1.36,1.1,1,0.008112253
0.63,0.63,12,-0.059084781
5.3,5.26,4,0.006057141
1.88,1.87,7,-0.005488598
3.25,3.04,8,0.02139442
1.78,1.76,15,0.011559737
0.93,0.92,9,-0.012716104
1.45,1.6,13,-0.003054992
1.45,1.42,5,0.003688527
0.51,0.42,8,-0.007825741
3.2,2.63,3,0.000764855
0.55,0.47,19,-0.059001472
1.4,1.38,11,-0.005779511
0.5,0.44,9,-0.003373327
0.48,0.43,12,-0.015607602
1.38,1.07,12,0.080384346
2.21,2.12,13,0.022063415
0.59,0.36,1,0.010689655
0.43,0.43,7,-0.005906666
0.47,0.46,8,-0.030924131
0.14,0.22,4,0.039419668
0.49,0.26,1,0.002739726
1.17,1.15,3,-0.041474656
1.18,1.15,13,-0.05123615
0.86,0.86,2,-0.040265474
0.91,0.85,6,-0.015799025
0.45,0.42,5,-0.041147124
0.4,0.39,4,-0.068521222
0.43,0.44,3,-0.024809154
0.28,0.23,4,-0.016666618
0.49,0.55,4,-0.03448276
0.32,0.33,7,-0.011885236
0.59,0.58,3,-0.062499986
0.44,0.42,3,-0.027194785
-0.04,-0.11,7,-0.059414991
0.31,0.33,4,-0.079299378
0.11,-0.03,7,0.012254902
1.28,1.3,7,-0.027027024
0.44,0.44,1,-0.020679467
0.57,0.52,1,-0.001496984
0.2,0.19,1,-0.007215034
0.6,0.57,2,-0.04677467
0.46,0.42,5,-0.045522975
-3.23,-3.23,1,0.084195755
-0.2,-0.24,1,0.088578089
-1.03,-1.37,1,-0.106007067
0.44,0.46,3,0.083549223
1.88,1.92,4,0.024354242
0.18,0.19,3,0.059131345
0,-0.02,3,0.11884058
2.62,1.87,6,0.11401878
5,2.37,2,-0.05194953
0.6,0.02,1,0.005883146
-0.03,-0.03,2,-0.074834437
-0.09,-0.08,3,0.061452514
-0.09,-0.04,1,0.034174095
0.8,0.49,1,0.023971493
1.17,1.08,6,-0.00148961
0.16,0.39,9,0.00191159
0.14,0.15,4,0.066836403
2.18,2.11,9,-0.021381924
0.98,0.69,5,0.018417872
0.5,0.45,8,0.026108075
0.4,0.43,6,0.034042553
0.65,0.76,9,0.01370604
0.95,0.96,10,-0.014441923
2.12,2.09,6,0.028438304
1.01,0.94,1,-0.019404985
0.24,0.21,1,-0.029118735
-0.03,-0.07,2,0.040369807
0.03,0.06,7,0.053505706
-0.03,-0.01,2,-0.01255887
0.51,0.5,1,-0.06181925
0.5,0.47,5,-0.083945454
1.26,1.24,5,-0.003488033
5.29,4.31,3,-0.015806484
2.08,2.13,6,-0.003890404
-0.46,0.21,3,0.149130715
2.48,2.25,8,0.016307893
0.1,0.03,9,0.0012702
0.45,0.34,5,0.080139983
1.6,1.51,4,0.022930489
1.34,1.11,4,0.014098696
1.15,1.1,6,-0.001394163
-0.72,-0.29,5,-0.04147881
-0.15,-0.33,9,0.03709744
0.91,0.79,4,0.015229635
1.66,1.37,6,-0.003496504
0.12,0.1,3,0.005513308
0.13,0.1,3,0.095571956
0.92,0.79,5,0.021820278
0.42,0.38,8,-0.085485391
0.38,0.34,2,0.177730194
-3.05,-2.65,4,0.056013895
0.67,0.63,3,-0.055685131
0.53,0.42,5,-0.02094817
-2.41,2,6,0.03568
2.26,2.36,3,-0.009603121
0.14,0.12,7,0.037634409
0.48,0.51,6,-0.022169811
0,0,5,-0.060803474
0.57,0.63,7,0.027847666
-0.29,-0.23,6,0.128246753
-4.21,-2.92,4,0.109266354
0.12,0.07,4,-0.017503218
1.03,1.08,5,-0.010295439
0.25,0.24,7,-0.047254926
0.22,0.44,2,0.009396534
-6.43,-0.46,1,-0.038875755
-0.68,-0.42,4,0.097676176
0.63,0.61,3,0.028261896
-0.16,-0.45,5,0.221805183
0.26,0.19,6,0.024045262
-0.55,-0.57,2,0.014725698
0.34,0.28,3,-0.017338332
-2.64,-0.86,1,0.083833133
0.62,0.12,6,0.028622012
-0.33,-0.53,3,0.022433927
0.33,0.32,2,-0.003434459
-1.04,-0.78,4,0.012715713
-0.12,-0.07,6,0.012740277
0.52,0.52,1,0.019311047
-0.98,-0.94,5,-0.004895961
4.86,2.42,3,-0.00061894
0.01,0.09,2,0.077876106
0.08,0.05,5,0.039868912
0.41,0.36,4,-0.012515139
-0.55,-0.31,2,0.483995585
-0.2,0.02,1,-0.107899807
-0.19,-0.1,6,-0.040229885
0.19,0.19,1,0.041249994
0.99,0.74,4,-0.054499878
-0.65,-0.81,4,0.03125
0.87,0.63,4,0.051445573
-2.55,-0.19,1,0.015811373
-0.25,-0.23,5,-0.064583333
0.43,0.31,4,0.044753447
0.23,0.22,5,0.095739085
-0.11,-0.12,5,-0.065179243
0.1,-0.03,3,0.161464836
1.24,1.3,3,-0.031195594
0.29,0.29,2,0.041860461
0.77,0.54,5,-0.065355603
-0.13,-0.5,6,-0.011201629
-0.69,-0.52,4,-0.101279318
-0.03,-0.05,1,0.099673795
-0.33,-0.25,7,-0.072647876
0.25,0.18,1,0.102637615
0.28,0.4,4,-0.017262858
-0.53,-0.52,4,-0.026224329
-0.74,-0.55,3,0.000609106
-0.62,-0.58,4,-0.089506726
-0.08,-0.1,1,0.131487889
0.13,0.13,1,0.094669118
-0.17,-0.19,6,-0.068413392
-0.42,-0.38,2,0.017094017
0.04,-0.05,2,0.087228715
2.63,2.67,1,0.154635514
-0.27,-0.19,3,-0.061952441
-0.65,-0.77,6,-0.028775268
-0.38,-0.37,1,0.004192872
-0.78,-0.9,7,0.030272953
-0.78,-0.83,7,-0.035069262
-0.27,-0.18,5,0.103235747
0.17,0.2,2,0.050454129
2.73,1.9,1,-0.011048931
0.1,0.08,3,-0.020516717
0.07,-0.04,2,-0.0390625
-1.08,-1.19,2,0.027422303
-2.15,-1.16,6,0.038560411
-0.51,-0.54,5,-0.021006738
-0.07,-0.1,2,-0.145263158
0.21,0.2,2,0.033834576
-0.2,-0.54,2,-0.121342513
0.26,0.23,2,0.074788337
-0.17,-0.21,4,-0.045248869
-0.31,-0.06,2,0.015163002
-0.17,-0.22,3,0.077895894
-0.12,-0.09,5,-0.029932804
-0.13,-0.08,4,-0.026897004
0.15,0.09,2,0.02607362
-0.62,-0.54,5,-0.030432136
-0.91,-0.89,7,0.028667277
-1.78,2,1,0.059868421
0.24,0.19,2,0.019385625
-0.58,-0.57,5,-0.269480519
-0.51,-0.42,5,-0.025309639
0.42,0.38,3,0.003116045
0.11,0.1,1,-0.221105528
0.6,0.48,1,-0.092532468
0.18,0.12,2,0.016209476
0.71,0.53,2,0.02881072
-0.28,-0.28,7,-0.025157233
-1.04,-0.19,4,0.008495146
-0.11,-0.16,4,0.001531394
-0.1,0.08,1,-0.078101835
0.25,0.24,1,0.021943564
-0.46,-0.44,3,0.012451577
0.09,0.07,4,0.200421941
0.15,0.01,1,0.113816834
0.29,0.24,2,0.110008271
-0.03,0.2,1,0.048866499
0.71,0.41,2,0.213549412
-0.47,-0.62,4,0.026113671
-0.06,-0.03,1,0.001257071
-0.2,-0.15,2,0.002739726
-0.07,-0.07,3,0.124087591
-0.05,-0.15,1,-0.128672746
0.37,0.31,1,0.028337875
-1.08,-0.89,4,-0.031212121
-1.55,-1.08,1,0.144422311
-0.12,-0.1,1,-0.030141844
0.75,0.42,1,0.080774563
-0.64,-0.59,2,-0.132643748
-0.07,-0.01,3,0.055023923
-0.74,-0.9,2,0.060892587
-0.01,0.08,2,0.050570962
-0.7,-0.79,1,0.002782415
0.14,0.13,4,0.019779507
-0.23,-0.32,7,-0.070217918
-0.5,-0.51,3,-0.175800326
-0.91,-1.03,1,0.031772575
0.28,0.24,4,0.054876033
-0.09,-0.08,3,-0.007194245
-0.45,-0.33,4,0.06875
0.49,0.42,4,0.053625378
-0.02,-0.03,2,0.047142857
-0.5,-0.39,5,-0.021902806
-0.34,-0.16,1,-0.000792393
0.16,0.06,1,-0.008368195
0.07,0.04,4,0.169884081
0.38,0.36,4,0.016655617
-0.78,-0.63,2,0.10261348
0.21,0.24,5,0.0302267
-0.15,-0.14,1,-0.0502693
-0.15,-0.09,2,0.015097691
-0.08,-0.02,1,0.005928854
-0.03,-0.03,3,-0.025520898
-0.4,-0.36,2,-0.081433225
0.07,0.03,1,-0.031111111
-0.25,-0.18,4,0.13436908
0.13,0.05,3,0.046703297
0.17,0.12,1,0.162629758
0.94,0.51,3,-0.019484241
-0.43,0.03,1,-0.117831893
0.23,0.18,4,0.014450867
-0.07,-0.06,2,0.096153846
0.58,0.58,1,0.028071795
0.21,0.23,2,0.066588785
-0.72,-0.55,4,0.03776435
-0.28,-0.13,3,-0.056756757
-0.08,0.01,1,0.028673835
-0.76,-0.93,1,0.807416268
-1.4,-0.69,2,0.027027027
-0.35,-0.06,2,0.180722892
-0.03,0.09,1,-0.017350158
0.04,0.04,2,0.002688109
0.09,0.06,2,0.085995086
-0.06,-0.02,2,0.004484305
0.21,0.29,3,0.039487697
0.07,0.1,2,-0.025715115
0.26,0,3,0.068181818
0.3,0.19,1,0.004899292
-0.11,-0.09,1,0.039893617
-0.58,-0.71,5,-0.065909091
-0.12,-0.12,1,-0.074285714
-0.6,-0.56,1,-0.155731795
-0.32,-0.28,2,-0.112526539
0.13,0.21,1,0
-0.5,-0.13,1,0.071355759
-0.2,-0.24,1,-0.043250328
-0.03,0.01,1,0.165254237
0.17,-0.15,1,0.000460687
-0.13,-0.09,3,0.143939394
-0.06,-0.05,2,-0.037409434
-0.36,-0.39,1,0.16130031
0.94,0.94,5,0.004717626
0.9,0.86,5,0.048050346
0.08,0.11,1,-0.041059603
-0.03,-0.1,2,-0.054117663
0.02,0.03,5,0.057607541
2.03,1.81,3,0.040322588
-0.26,0.02,1,0.064864865
-0.07,-0.02,3,0.040925347
0.38,0.5,1,0.042935207
-2.84,-1.14,1,-0.07145057
-0.08,-0.01,1,0.002737226
