EPS,forecasted_eps,noOfEsts,before_total_returns
0.09,-0.01,4,-0.059247738
-0.63,-0.59,3,0.165167243
-0.44,-0.4,1,0.091974758
0.67,0.73,2,-0.081426064
0.89,0.76,1,0.004691893
-0.03,0.26,3,0.182513139
0.2,0.18,3,-0.014391644
1.46,1.72,1,0.181382703
-0.25,-0.39,3,0.231931211
0.01,0.02,10,-0.112676056
-0.64,-0.57,3,-0.062
0.4,0.41,3,0.111962834
0.34,0.11,1,0.02739726
0.04,-0.05,2,0.016034994
0.44,0.5,2,0.007518801
2.46,2.14,1,-0.168684391
0.54,0.49,5,0.002851656
0.16,0.13,1,0.005785124
-0.02,-0.03,5,0.137693632
-0.03,-0.08,2,-0.115727003
0.7,0.69,2,-0.096528404
0.46,0.39,2,-0.020110536
-0.96,-0.96,4,0.052840159
0.78,0.68,5,-0.084286977
-0.02,-0.08,3,0.249371859
0.17,0.22,1,0.068014374
-0.3,-0.32,2,-0.109963862
1.01,0.91,1,0.019903922
0.17,0.14,2,0.060984183
-0.42,-0.29,3,-0.031680441
0.53,0.48,1,0.09067044
0.6,0.53,8,0.001124859
-0.33,-0.38,2,0.362229102
0.13,0.1,3,0.008838891
0.19,0.22,2,0.021495736
0.37,0.41,2,-0.098480243
0.44,0.44,4,-0.010140003
0.31,0.35,2,0.043445073
0.12,0.03,1,-0.087653157
-0.55,-1.23,1,-0.131858407
-0.01,-0.02,2,-0.046666667
0.38,0.43,3,-0.013666346
0.23,0.2,3,0.051131206
-1.28,-1.19,6,0.042677643
0.01,-0.08,5,0.024355301
-0.67,-0.84,6,0.08962597
-0.95,-0.8,5,-0.099047619
0.21,0.2,3,0.112814832
0.12,0.12,5,0.143028606
-0.05,0.01,6,-0.32875
0.02,0.08,2,0.003836317
-0.29,-0.13,2,0.122507123
-0.17,-0.21,2,-0.231692308
-0.98,-1.33,2,-0.130853111
1.01,1.14,3,-0.034369912
0,0.04,1,-0.067708333
0.12,0.22,2,-0.066286529
-0.01,-0.02,3,-0.005263158
0.35,0.33,1,0.005090474
-0.41,-0.4,1,0.039190898
-0.77,-0.56,1,-0.070841889
0.12,0.13,4,-0.027330447
-0.23,-0.27,3,-0.00443459
0.04,0,3,-0.116831683
-0.03,0.01,3,0.0110011
-0.05,-0.06,1,-0.208661417
-0.08,-0.19,2,-0.124260355
-0.09,-0.08,1,-0.139240506
-0.1,0,1,-0.492957746
0.11,0.02,2,-0.063106796
-0.07,-0.04,2,-0.046808511
-0.14,0,1,-0.02
-0.12,0.08,1,-0.146031809
-0.36,-0.37,3,0.047034765
-0.52,-0.66,3,-0.319327731
-0.14,-0.32,2,0.032702238
2.97,2.66,8,-0.061057029
2.22,2.14,6,-0.010815868
1.43,1.11,11,0.009064003
2.98,2.91,9,-0.008058567
1.83,1.82,4,-0.019273299
0.28,0.26,2,-0.064753671
2.21,2.2,8,0.004636696
1.64,1.64,4,-0.025580659
1.62,1.45,8,-0.030596734
0.49,0.48,9,0.003378398
0.73,0.64,4,-0.012348855
1.7,1.47,6,0.010511313
0.76,0.73,2,-0.020874345
0.29,0.19,1,0.042189282
0.32,0.3,5,-0.015157249
0.41,0.4,6,0.023233301
0.99,0.96,4,-0.032093193
0.44,0.43,3,0.0393901
0.72,0.58,8,0.039348421
0.98,1.01,5,-0.015708722
-0.34,-0.35,5,0.149854862
1.58,1.5,2,-0.029515562
1.1,0.97,11,0.016322814
0.61,0.42,4,-0.068437347
1.22,1.13,1,-0.033194267
0.57,0.57,5,-0.019520852
0.51,0.5,7,-0.023742264
3.61,3.59,5,-0.083247923
1.12,1.03,2,-0.043504386
1.54,1.59,5,-0.029894306
1.18,1.16,8,0.056541337
0.34,0.33,4,0.005505543
0.76,0.6,2,0.057753018
0.62,0.67,9,0.010502872
0.94,0.75,2,-0.017955048
1.43,1.47,3,-0.011350057
0.14,0.05,1,0.076036907
0.7,0.7,8,-0.023556231
0.07,0.09,1,0.003285111
1.3,1.27,7,-0.118801908
-0.44,-0.32,3,0.140108758
0.2,0.1,12,-0.011665555
1.56,1.42,3,-0.074011486
0.75,0.61,3,-0.032085567
0.21,0.13,3,0.069252078
0.39,0.32,4,0.005737797
0.03,0,5,0.04765343
0.47,0.47,7,-0.033363391
0.45,0.26,2,0.088427294
1.29,1,6,-0.032127663
-0.06,-0.29,3,-0.038567493
0.7,0.67,3,-0.032700904
1.87,1.86,4,0.016844647
1.21,1.27,5,-0.027269756
0.17,0.14,2,-0.020161271
-0.4,-0.43,5,-0.036175711
0.47,0.23,4,-0.010107876
0.2,0.15,3,0
0.88,0.55,2,0.012249656
1.39,1.51,2,-0.01076159
1.07,0.99,2,-0.012939957
0.55,0.42,1,0.030927835
0.37,0.36,9,-0.029502134
-0.04,-0.17,10,-0.105672106
0.18,0.18,2,-0.079697505
0.38,0.3,7,-0.057994274
0.64,0.63,3,0.005052217
0.52,0.59,2,0.049367634
0.41,0.31,5,0.002083333
0.28,0.28,4,-0.024809164
0.01,-0.04,4,0.108695652
0.48,0.49,2,-0.006335186
0.57,0.49,2,0.04805915
0.18,0.16,1,-0.000687285
0.4,0.4,5,0.001512086
0.23,0.14,1,0.004310345
0.59,0.45,3,0.027490468
0.11,0.06,5,-0.018191405
0.38,0.34,3,0.006501179
0.27,0.27,2,-0.009280743
-1.23,-1.5,1,-0.103174603
0.34,0.35,1,0.046869004
-0.33,-0.35,3,-0.088480801
0.4,0.43,1,0.006880743
-0.02,-0.11,1,-0.023271746
-0.5,-0.49,2,-0.020057307
0.88,0.62,15,-0.006369849
0.2,0.19,2,-0.178082177
0.05,0.05,7,-0.068767908
0.53,0.5,2,0.004727289
0.84,0.62,1,0.07568236
0.22,0.23,1,0.002748493
-0.09,-0.09,5,-0.121212121
0.03,0.03,4,-0.031578947
-0.15,-0.12,4,-0.011494253
0.26,0.2,2,-0.065059214
0.34,0.47,1,-0.053353679
0.18,0.25,1,-0.021563349
-0.01,-0.12,2,0.042553191
0.07,0.05,2,0.010729614
-0.01,-0.01,5,-0.102661597
-0.79,-0.85,2,-0.07334345
-0.06,-0.06,3,-0.139622642
-0.19,-0.25,3,0.019337017
-2.77,-1.19,1,-0.383295565
1.48,1.47,14,0.030576734
1.12,1.05,4,-0.030650618
0.46,0.41,6,0.025192654
-1.43,-1.82,5,-0.044276213
0.51,0.47,8,0.136401338
0.73,0.58,1,0.298730396
0.12,0.16,3,-0.031012288
-0.01,-0.01,2,-0.158163265
0,-0.01,1,-0.112469438
0.23,0.22,4,0.027956989
0.43,0.38,2,0.009283825
0.19,0.15,1,-0.00456621
-0.04,-0.03,1,-0.018691589
0.1,0.27,2,-0.072354212
-0.04,-0.05,5,0.171009772
0.11,0.14,2,0.060583672
0.23,0.12,2,0.128053586
-0.11,0.01,2,-0.092888244
0.31,0.14,2,-0.027222222
0.13,0.06,1,0.034736139
-0.05,-0.07,1,0.010791367
0.24,0.3,1,-0.014285714
0.31,0.32,1,0.002298498
3.04,2.92,10,0.00190355
2.06,2.01,10,-0.01338866
6.95,5.67,6,-0.068228346
0.8,0.74,9,-0.008985682
2.44,1.65,1,-0.049848207
4.79,4.36,8,-0.065662264
2.45,2.4,8,-0.025472147
0.78,0.66,9,-0.019013278
1.22,1.18,9,-0.011114736
1.61,1.42,8,-0.003762589
1.14,1.05,4,-0.007090307
0.5,0.49,8,-0.031170303
1.54,1.56,10,0.01683104
0.63,0.56,2,0.02961624
0.93,0.81,8,0.026685116
0.26,0.39,3,0.008353236
0.28,0.29,5,-0.005830898
0.76,0.7,4,0.025098766
0.38,0.38,5,0.021462189
0,0.39,4,-0.000779216
0.94,0.73,1,0.021528918
-0.32,-0.19,2,0.002675623
0.66,0.56,3,0.008779378
1.47,1.88,1,-0.026850953
1.38,1.34,9,-0.024165245
-0.66,-0.16,11,0.007100606
0.5,0.47,9,-0.010995373
0.26,0.24,2,0.0045627
0.06,0.05,2,0.044155846
1.4,1.2,8,0.010172843
0.42,0.36,9,0.036242666
-4.43,-3.97,10,-0.093006993
-1.1,-0.74,1,-0.200317965
-0.1,-0.1,2,0.095081967
7,6.47,8,0.055311814
1.78,1.14,14,0.024753857
0.96,0.9,17,0.013544737
2.03,2,10,-0.008687984
0.83,0.42,3,0.003617065
0.26,0.53,3,-0.035528086
0.69,0.67,10,-0.185002001
1.38,1.33,4,0.001036544
1.44,1.33,6,-0.014648116
0.69,0.67,10,-0.014499077
-0.79,-0.62,10,0.013963737
0.91,0.91,9,0.024638785
1.14,1.11,8,0.013537373
0.52,0.6,9,-0.027646143
1.66,1.55,13,-0.000129658
0.7,0.69,10,0.006180303
0.14,0.17,6,0.022608769
1.92,1.91,8,-0.00247624
0.13,0.24,2,0.066782331
1.77,1.43,4,-0.12162685
0.27,0.27,20,-0.017298188
0.5,0.49,7,0.00166231
0.03,0.02,3,-0.11622276
0.77,0.71,5,0.00430033
1.42,1.36,12,-0.026995979
1.05,0.94,3,0.012618487
0.62,0.48,9,0.109638837
0.27,0.31,15,-0.053740745
0.4,0.4,1,0.029126226
0.55,0.55,10,0.010729608
0.95,0.9,8,-0.014650037
0.98,0.94,9,0.006317286
0.95,0.85,8,-0.000558971
0.1,0.13,9,0.032628022
0.85,0.78,6,0.01155652
1.07,0.95,8,0.063721743
1.71,1.68,8,0.010929712
0.74,0.74,7,0.023664333
0.73,0.68,11,0.002679064
3.22,3.13,5,-0.018992729
0.21,0.21,3,0.063762452
0.97,0.96,9,0.011384449
0.59,0.56,4,0.013826617
0.64,0.64,6,-0.0229099
0.4,0.37,12,0.01691333
-0.11,0.24,8,0
0.85,1,7,-0.024295691
2.02,1.96,15,-0.012505716
0.66,0.94,6,0.002189559
-0.04,-0.05,2,0.032167829
0.31,0.77,6,0.010037654
0.4,0.44,6,-0.037477994
0.56,0.53,7,-0.048166108
0.13,0.07,6,-0.023340627
2.74,2.7,10,-0.022233628
0.14,0.14,2,0.040752351
1.15,1.06,4,0.011366065
0.45,0.35,5,-0.025517489
0.68,0.67,4,-0.007705748
0.92,0.84,10,0.034053688
1.15,1.15,11,-0.040406298
0.79,0.72,10,-0.182681564
0.77,0.66,6,-0.01492123
0.55,0.48,8,0.031826291
1.68,1.71,8,0.001379738
0.88,0.85,2,0.015591422
1.89,1.73,8,0.008596304
0.29,0.22,6,0.078762062
1.13,1.01,6,0.000368599
0.53,0.43,3,0.080919996
0.24,0.23,7,0.141698682
0.68,0.73,6,-0.025394944
0.79,0.38,5,-0.010631837
1.11,1.1,11,0.031494828
0.36,0.34,9,-0.053853943
0.99,0.89,6,-0.008012167
1.21,0.95,3,0.068867513
1.16,0.71,3,0.007185723
0.19,0.14,7,0.017932489
0.84,0.82,10,0.024713678
3.66,3.35,8,0.012163946
0.56,0.55,7,0.017820399
0.24,0.09,3,0.037188546
0.06,0.02,6,-0.163084725
1.17,1.04,1,0.015954183
-1.8,-2.05,8,0.004393274
0.65,0.64,7,-0.000635861
1.07,0.97,3,-0.014214336
-0.6,-0.65,10,-0.19151671
0.92,0.68,8,0.038609015
4.52,3.26,6,0.044877721
1.25,1.19,8,0.007833828
-0.11,-0.01,2,0.023012505
1.96,1.95,7,-0.025662173
-0.48,-0.39,3,-0.067985167
0.36,0.35,6,-0.017645051
-0.35,-0.46,10,-0.062036423
1.11,1.08,5,0.049727106
0.91,0.9,6,-0.026605265
0.29,0.21,4,0.030369961
0.34,0.35,1,-0.005159964
0.11,0.12,2,-0.023112493
0.37,0.28,6,-0.02057067
1.19,1.17,11,0.004433694
0.89,0.86,7,-0.033442391
1.13,0.92,7,-0.028135781
0.27,0.27,1,-0.003605798
2.8,2.29,2,0.024805562
0.41,0.39,12,0.063692098
0.55,0.85,2,0.051694305
0.95,0.71,5,0.012387783
1.73,1.67,2,0.021540075
1.64,2.21,3,-0.102388156
-0.12,-0.18,9,-0.076172858
1.02,0.97,9,0.019913886
0.72,0.13,9,-0.005468216
0.18,-0.04,2,-0.03097337
0.54,0.5,2,0.027205909
1.55,1.53,11,0.016250938
1.12,0.98,2,-0.022214358
0.66,0.63,3,0.00627736
0.79,0.76,9,0.011208871
1.18,1.18,10,-0.179080525
0.79,0.61,1,-0.008373195
0.43,0.34,2,0.005627829
-0.3,-0.33,18,0.040803721
0.22,0.26,3,-0.035595106
0.43,0.43,6,0.06726184
0.66,0.6,3,0.007469655
0.07,0.07,1,0.019294426
0.55,0.5,6,0.020627791
0.44,0.5,2,-0.002323202
0.9,0.79,6,0.001746201
0.4,0.44,2,-0.086646497
1.24,1.22,1,-0.034976919
0.52,0.51,9,-0.043077913
0.61,0.6,2,-0.00214371
0.47,0.45,4,0.01252824
0.95,0.8,3,-0.026380874
0.13,0.05,5,0.055367232
1.73,1.69,7,0.027024929
0.57,0.61,13,-0.000626962
-0.1,-0.03,5,-0.040302267
0.01,0.02,6,-0.005253959
0.24,0.26,3,-0.055765438
0.38,0.4,4,-0.003875937
0.01,0.08,2,0.058227897
-0.18,-0.33,1,-0.027425722
2.16,2.1,5,-0.014922976
0.47,0.43,3,-0.080338944
0.43,0.42,6,0.01448506
0.38,0.28,2,0.142595955
0.36,0.32,2,-0.010992655
0.52,0.5,7,-0.026702287
-0.29,-0.28,4,0.223115578
1.22,0.67,7,0.014267371
0.56,0.74,3,0.04187303
0.49,0.34,2,-0.038645564
0.17,0.19,3,-0.027376387
0.44,0.45,3,0.047391195
-0.47,-0.42,13,0.019202834
0.5,0.66,6,-0.041183649
0.51,0.5,3,0.011468474
0.2,0.22,1,-0.012675411
0.22,0.2,2,0.018565708
0.1,0.08,3,0.011326861
0.58,0.54,1,0.078402777
0.46,0.39,3,0.116652085
0.98,1.01,9,-0.046582499
0.71,0.68,4,-0.048032021
-0.09,-0.14,7,0.014874915
0.57,0.46,5,-0.058150805
0.77,0.68,3,-0.017519742
0.5,0.49,5,-0.080601306
0.59,0.57,2,-0.005091449
0.61,0.54,3,0.059801865
0.17,0.14,1,-0.052158244
0.31,0.3,3,0.043165489
-0.58,-0.63,15,0.016095536
0.35,0.38,6,0.012702084
1.89,2.08,2,0.03552957
0.89,0.89,1,-0.124048515
0.19,0.19,1,0.004429723
0.01,0.01,4,0.019559124
0.21,0.29,2,-0.095314171
0.15,0.15,1,-0.002380276
0.73,0.56,1,0.082901554
1.39,1.35,11,0.003775528
0.4,0.37,4,0.055828508
0.24,0.2,1,0.03080308
0.34,0.34,7,-0.008183315
-0.47,-0.24,1,-0.185929648
0.35,0.33,2,-0.044331222
0.41,0.45,4,0.0703125
1.2,1.19,2,-0.003106966
0.2,0.2,8,0.031943708
0.41,0.51,3,-0.076508607
0.34,0.34,2,0.034077225
0.38,0.36,2,0.02096112
-0.05,-0.09,3,0.011331445
0.15,0.12,3,0.071794872
-0.08,-0.1,2,0.021739186
0.64,0.61,1,0.018999063
0.59,0.57,8,-0.023928662
0.2,0.19,3,0.057766377
0.97,0.9,1,0.003134802
0.09,0.08,3,0.048658765
1.04,1.13,5,0
0.85,0.86,2,-0.05431259
0.37,0.41,6,-0.10666667
-0.07,-0.07,3,0.006535948
0.16,0.11,2,0.005684755
-0.24,-0.34,3,0.104089219
0.15,0.1,3,0.043286219
0.01,0.21,2,-0.074687397
1.04,0.82,3,0.020677767
0.13,0.11,1,0.080846968
0.21,0.21,4,-0.015364833
0.39,0.37,2,0.015083587
0.04,0.02,2,-0.002544529
-0.07,0.05,1,0.022194737
0.04,0.03,8,0.086134444
0.19,0.19,2,0.054846055
-0.01,0,1,0.162027805
0.4,0.33,1,-0.035018071
0.43,0.2,3,0.006019826
-0.02,0,6,-0.162393162
0.37,0.09,2,0.097098646
0.15,0.16,4,0.019436997
0.59,0.55,9,0.013018723
0.5,0.54,1,0.049483182
-0.05,-0.01,3,-0.035386599
0.34,0.29,2,0.011738131
0.5,0.51,1,0.014468933
0.06,0.36,1,0.02269047
0.3,0.26,2,0.074421405
0.32,0.33,3,-0.052428253
-0.15,-0.16,2,0.201834862
-0.05,-0.06,4,0.230927835
1.13,1.07,3,-0.001587905
-0.41,-0.4,7,-0.046153847
2.85,2.33,5,0.085519591
0.12,0.12,6,-0.11322131
0.36,0.32,1,0.008281204
0.01,0.01,1,-0.075601375
-0.23,0.24,2,-0.098650978
0.08,0.21,1,0.011929433
-0.06,-0.15,4,0.075949367
0.2,0.02,2,0.231827112
0.43,0.5,2,-0.066252857
-0.06,-0.11,3,0.446153846
0.52,0.52,2,-0.120625775
-0.11,-0.09,4,-0.01642487
0.32,0.25,2,0.073274448
1.7,1.45,1,0.101393179
0.48,0.42,3,0.050247696
-0.19,-0.27,12,0.032455603
-0.33,-0.24,1,0.096354253
-0.19,-0.15,1,-0.04368932
-0.1,0,1,-0.161290323
-0.34,-0.23,3,-0.105194805
-0.24,-0.23,5,0.152597403
-0.07,-0.11,5,0.033797217
1.88,1.68,7,-0.017081055
25.69,20.83,9,0.002735235
2.5,2.14,1,0.036095514
-0.25,-0.25,1,0.011316872
3.02,2.48,7,-0.073153899
2.59,2.92,4,0.023163962
-0.19,-0.15,2,-0.141563394
0.56,0.28,2,-0.077005348
-0.31,-0.24,2,-0.06442953
-0.02,-0.13,9,-0.055789474
0.21,0.12,6,-0.072024472
0.78,0.69,2,0.020806242
0.07,-0.01,1,-0.057610242
0.86,0.47,4,-0.120586276
-0.37,-0.41,3,-0.196141479
-1.03,-0.7,3,-0.081403044
-0.86,-0.09,1,-0.057017544
0.6,0.57,3,-0.055283757
-0.14,-0.14,2,-0.118187787
0.02,0.04,3,-0.029059829
-0.33,-0.48,1,-0.018100808
0.78,0.54,13,0.065181619
0.5,0.52,6,0.092268047
3.26,3.14,4,0.028783795
0,0.05,2,-0.061904701
0.23,0.27,3,0.108587651
0,-0.02,4,-0.138288678
0.21,0.17,5,0.098355755
-0.45,-0.44,4,-0.023454158
0.39,0.32,1,-0.188119091
0.67,0.66,2,0.092125421
-0.53,-0.57,2,-0.031100478
-0.89,-0.8,2,0.083838384
0.37,0.56,1,-0.133141762
0.3,0.27,1,0.218400367
-2.86,-1.49,2,-0.052702703
-4.63,-1.37,1,-0.092612613
-0.32,-0.31,3,-0.083333333
0.35,0.37,2,-0.078014233
-0.58,-0.54,2,-0.056140351
0,0,1,-0.121621622
0,0,1,-0.015957447
1.7,1.48,5,-0.054101833
-0.16,-0.16,2,-0.048387097
-0.02,-0.02,1,0.092436975
-0.72,-0.72,3,0.134067952
1.34,1.3,8,-0.00607701
0.2,0.14,3,-0.027799228
0.87,0.85,7,0.053825676
0.27,0.3,3,0.048186248
-0.05,-0.05,2,-0.118677043
0.27,0.25,2,-0.007553877
-2.86,-2.23,3,-0.273000752
-0.12,-0.18,2,-0.056497175
-3.11,-2.3,2,-0.288296041
0.03,-0.16,1,0.017316017
-0.4,0,1,0.057368942
0.07,0.09,1,0.260289939
-0.01,0.01,1,0.026653504
-0.04,-0.1,1,-0.044247788
0.09,0.07,1,-0.008254717
0.05,0.04,1,-0.033854167
1.42,1.45,12,0.002046416
0.64,0.44,1,0.056886219
0.44,0.41,5,0.023934179
-0.24,-0.31,4,-0.072535211
1.89,1.9,12,0.037231713
0.28,0.29,6,0.043964092
0.14,0.13,2,-0.031746032
-0.09,-0.07,5,0.037037037
0.48,0.59,5,0.018335167
1.92,1.82,4,-0.006063631
-0.6,-0.19,1,0.040641453
0.16,0.17,10,0.046342188
0.79,0.75,1,0.09172683
1.38,1.13,8,0.051454143
0.47,0.42,1,0.114157818
0.35,0.33,4,-0.075114834
-0.17,-0.23,4,-0.105454545
-0.34,-0.43,4,0.033123028
-0.28,-0.23,1,-0.001190476
-0.15,-0.36,1,0.008897677
-0.45,-0.11,2,0.139534884
0.24,0.25,3,0.08503402
0.06,0.04,2,0.100636943
-3.93,-0.13,2,0.070866142
0.15,0.14,2,-0.008450751
0.13,0.08,6,-0.091823897
0.54,0.32,1,0.035550463
0.11,0.09,2,-0.07239819
0.35,0.24,1,-0.022083542
0.09,0.12,4,-0.03381295
-0.06,-0.14,1,-0.09223301
-0.54,-0.56,5,-0.076343718
0.07,-0.07,2,0.002331012
0.53,0.44,2,-0.06155876
0.02,-0.43,4,0.01570197
0.28,0.18,3,-0.036199131
-0.14,-0.19,3,-0.053285968
0.19,0.19,2,-0.008357165
-0.04,-0.06,3,0.140215716
-0.16,-0.52,2,-0.00840718
-0.33,-0.29,2,-0.007518797
0.12,0.09,2,0.05952381
1.35,1.51,1,-0.070103091
0.08,-0.05,1,0.101563235
-0.06,-0.09,3,-0.120503597
1.23,0.37,1,-0.047238772
-0.09,0.04,1,-0.063157835
-0.02,-0.07,1,-0.066132265
-0.24,-0.26,4,-0.131067961
0.04,-0.01,1,0.043715847
-0.16,-0.16,1,0.132947977
-0.25,-0.33,1,-0.106024096
-0.14,-0.17,4,-0.012187907
0.03,0.01,1,0.344036697
-0.08,-0.08,5,-0.004950495
0.08,0,1,0.005226481
-0.63,-0.56,2,0.086956522
-0.22,-0.22,3,-0.004807692
0.05,-0.06,3,0.042410598
1.29,1.46,3,-0.130682628
0.91,0.19,8,-0.029205304
1.94,1.94,9,-0.022022656
